2,乱,乙 乚（おつ・おつにょう・つりばり）,舌,13,乙,573,ラン.ロン,みだ（す）.みだ（れる）.みだ（りに）,みだす。みだれる。秩序がない。まとまらない。.みだれ。混乱。反乱。.みだりに。むやみに。やたらと。.わたる。川の流れを横切ってわたる。.音楽のまとめとなる最後の一節。,小学校６年生,５級,教育漢字常用漢字名前に使える漢字
3,乳,乙 乚（おつ・おつにょう・つりばり）,孚,20,乙,573,ニュウ.ジュ.ニュ,ちち.ち,ち。ちち。.ちちを飲まれることから、育てる・子育て・やしなうなどの意。.うまれたばかり。うまれてまもない。幼い。,小学校６年生,５級,教育漢字常用漢字名前に使える漢字
5,仁,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,二,793,ジン.ニ.ニン,-,いつくしみ。おもいやり。したしみ。.ひと。＝人.ひとの心。人道。.さね。果実の種。,小学校６年生,５級,教育漢字常用漢字名前に使える漢字
11,仏,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,厶,104,ブツ.フツ,ほとけ,ほとけ。悟りを開いた者。.仏教（ぶっきょう）。また、仏教徒。.日本国名「仏蘭西（フランス）」の略。,小学校５年生,６級,教育漢字常用漢字名前に使える漢字
13,仕,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,士,3,シ.ジ,つか（える）.つかまつ（る）,つかえる。官につく。役人になる。身分の高い人につき従う。仕事をする。.つかまつる。「する」「おこなう」の謙譲語。,小学校３年生,８級,教育漢字常用漢字名前に使える漢字
14,他,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,也,548,タ,ほか,ほか。別の。自分以外の。.三人称代名詞。彼。彼女。,小学校３年生,８級,教育漢字常用漢字名前に使える漢字
16,付,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,寸,153,フ,つ（く）.つ（ける）.あた（える）,つく。つける。つけ加える。.与（あた）える。わたす。,小学校４年生,７級,教育漢字常用漢字名前に使える漢字
17,仙,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,山,196,セン,-,仙人（せんにん）。山で修行を積み、不老不死の術を会得したといわれる人。.世俗から離れ、山中などで暮らすひと。.（仙人のように）身軽なさま。.日本セント。アメリカの貨幣単位「セント」の音訳。,-,準２級,常用漢字名前に使える漢字
19,代,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,弋,519,タイ.ダイ,か（える）.か（わる）.よ.しろ,かえる。かわる。入れかわる。交代する。.よ。時代。時世。人の一生涯。.よよ。代々。何代も続いているさま。.日本しろ。代金。ねだん。あたい。.日本しろ。材料。.日本しろ。田地。田の一区画。,小学校３年生,８級,教育漢字常用漢字名前に使える漢字
21,仮,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,反,703,カ.ケ.カク,かり.か（す）,かり。かりの。本物でない。いつわり。にせ。一時の。.かり。かりに。もし。仮定の意。.か（貸）す。与える。貸し与える。.借りる。借用する。.いとま。ひま。休み。＝暇.いたる。とどく。＝格,小学校５年生,６級,教育漢字常用漢字名前に使える漢字
22,仰,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,卬,715,ギョウ.コウ.ゴウ,あお（ぐ）.おお（せ）.あおの（く）.の（く）,あおぐ。見上げる。顔を上げて上を見る。.おおせ。命令。いいつけ。身分が高い人の言葉。.のく。あおのく。あおむく。あおむけになる。.あがめる。うやまう。信仰する。.おっしゃる。「言う」の尊敬語。,-,４級,常用漢字名前に使える漢字
23,仲,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,中,497,チュウ,なか,中（なか）。真ん中。.兄弟の二番目。年齢の順に上から「伯・仲・叔・季」または「孟・仲・季」という。.日本なか。人同士のあいだがら。,小学校４年生,７級,教育漢字常用漢字名前に使える漢字
24,件,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,牛,81,ケン,くだり.くだん,くだり。くだん。文章などで前に記述した事柄。.分ける。区別する。.物事。事柄。物事を数えることば。,小学校５年生,６級,教育漢字常用漢字名前に使える漢字
26,任,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,壬,652,ニン.ジン,まか（す）.まか（せる）,まかす。まかせる。信用して委ねる。自由にさせる。.仕事。役目。.たえる。こらえる。我慢する。.おう。になう。負担。荷物。,小学校５年生,６級,教育漢字常用漢字名前に使える漢字
30,伎,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,支,224,キ.ギ,たくみ.わざ,わざ。たくみ。はたらき。腕前。.わざおぎ。芸者。芸人。,-,２級,常用漢字名前に使える漢字
31,伏,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,犬,240,フク.ブク,ふ（す）.ふ（せる）.かく（れる）.したが（う）,ふす。ふせる。うつむく。うつぶせになる。.ふす。ふせる。かくれる。身を隠す。待ちぶせする。.したがう。ひれふす。服従する。.陰暦六月の節の名前。猛暑の時期。三伏（さんぷく）。初伏（しょふく）・中伏（ちゅうふく）・末伏（まっぷく）の総称。,-,３級,常用漢字名前に使える漢字
32,伐,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,戈,849,バツ.ハツ,う（つ）.き（る）.ほこ（る）,うつ。敵を討つ。敵を殺す。攻める。.うつ。楽器をたたいてならす。.きる。木を切る。木を切り倒す。.ほこる。自慢する。手柄をひけらかす。.いさお。手柄。功績。,-,３級,常用漢字名前に使える漢字
35,伝,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,云,309,デン.テン,つた（う）.つた（える）.つた（わる）.つて,つたう。つたえる。つたわる。授ける。受け継ぐ。言いつたえる。語り継ぐ。広める。広がる。広くつたえる。.言いつたえ。人の一生を書き記したもの。伝記（でんき）。.宿場。または宿場から人やものを送り届ける馬車。.古典、経書などの注釈。.日本つて。ことづて。ひとづて。事をなすときにたよりにするもの。,小学校４年生,７級,教育漢字常用漢字名前に使える漢字
36,伯,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,白,156,ハク.ハ,おさ.かしら.はたがしら,おさ。かしら。最年長の人。最上位の人。.兄弟の一番上。年齢の順に上から「伯・仲・叔・季」という。.おじ。父の兄（日本では母の兄のこともいう）。また、父（母）の弟には「叔」を用いる。.五等級の爵位（公・侯・伯・子・男）の三番目。.一芸にすぐれた者。.はたがしら。諸侯のおさ。＝覇,-,準２級,常用漢字名前に使える漢字
38,伴,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,半,792,ハン.バン,ともな（う）.とも,ともなう。連れ立つ。一緒に行く。.とも。行動をともにする人。仲間。,-,３級,常用漢字名前に使える漢字
40,伸,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,申,142,シン,の（ばす）.の（びる）.の（べる）.の（す）.の（る）,のばす。のびる。真っ直ぐにする。長くする。.述べる。申す。.無実の罪の疑いを晴らす。例：伸冤（しんえん）.のす。のばし広げる。勢力などが拡大する。.のる。背のび。体を長くのばす。,-,３級,常用漢字名前に使える漢字
41,伺,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,司,503,シ,うかが（う）,うかがう。様子をさぐる。のぞき見る。.待つ。機会をうかがい待つ。.たずねる。訪問する。,-,４級,常用漢字名前に使える漢字
42,似,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,以,349,ジ.シ,に（る）.ごと（し）,にる。にせる。姿や形などが類似（るいじ）している。.ごとし。「～のようだ」「～にちかい」「～のように見える」の意。.継ぐ。継承。＝嗣,小学校５年生,６級,教育漢字常用漢字名前に使える漢字
45,但,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,旦,395,タン.ダン,ただ（し）.ただ,ただし。しかし。条件や例外を付け加える意をあらわす。.「ただ～のみ」と読み、限定の意を表す。,-,準２級,常用漢字名前に使える漢字
46,位,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,立,407,イ,くらい,くらい。位置（いち）。.くらい。身分。階級。地位（ちい）。.くらい。方角。.くらいする。正しい位置にいる。あるべき所にある。.人に対しての敬語。例：各位（かくい）.日本くらい。人としての重み。品格。品位（ひんい）。.日本くらい。ほど。ばかり。だいたいの程度・数量・範囲などを表すことば。,小学校４年生,７級,教育漢字常用漢字名前に使える漢字
47,住,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,主,38,ジュウ.チュウ,す（まう）.す（む）.とど（まる）,すむ。すまう。ある一定の場所にとどまり生活する。.とどまる。とどめる。一定の場所から動かないでいる。.すまい。住居（じゅうきょ）。.やむ。やめる。停止する。中止する。,小学校３年生,８級,教育漢字常用漢字名前に使える漢字
48,佐,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,左,834,サ,すけ.たす（ける）,たすける。手助けをする。力を貸す。補佐する。.すすめる。酒をすすめることを佐酒（さしゅ）という。.日本すけ。次官。衛門府・兵衛府などの次官。,小学校４年生,７級,教育漢字常用漢字名前に使える漢字
50,体,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,本,415,タイ.テイ,からだ,からだ。全身。.かたち。外からみたすがた。ありさま。.身に付ける。自分のものとする。.本性。もちまえ。本体（ほんたい）。,小学校２年生,９級,教育漢字常用漢字名前に使える漢字
51,何,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,可,242,カ,なに.なん.いず（く）.いず（れ）,なに。なん。なんの。疑問・反語の意をあらわす。.なんぞ。どうして。理由・原因について問う。.いずれ。場所・時間について問う。またはいくつかの中から選択する場合、二つのうちのいずれかを選択する場合などに用いる。.いずく。場所について問う。.いかん。様子・状態・程度などについて問う。.いかん。いかんせん。手段・方法について問う。,小学校２年生,９級,教育漢字常用漢字名前に使える漢字
55,作,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,乍,464,サ.サク,つく（る）.な（す）,つくる。新たにこしらえる。.書物などを書く。.耕す。耕作（こうさく）する。.なす。おこなう。.なす。成し遂げる。つくり上げる。.立つ。立ち上げる。.ふるまい。うごき。はたらき。.つくられてできたもの。作品（さくひん）。.日本さく。制作（せいさく）したもののできばえ。,小学校２年生,９級,教育漢字常用漢字名前に使える漢字
60,佳,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,圭,43,カ,よ（い）,よい。美しい。立派。すぐれている。すばらしい。,-,３級,常用漢字名前に使える漢字
61,併,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,并,134,ヘイ,あわ（せる）.しか（し）.なら（ぶ）,あわせる。一つにする。一緒にする。.ならぶ。ならべる。つらなる。.きそう。せりあう。.日本しかし。しかしながら。けれども。,-,準２級,常用漢字名前に使える漢字
